customer_id,age,gender,region,tenure_days,total_orders,total_spent,avg_order_value,days_since_last_order,total_sessions,avg_session_duration,pages_per_session,cart_abandonment_rate,support_tickets,preferred_category,seasonal_activity,marketing_channel,will_churn,predicted_spending_3months
1,40,M,West,28,7,447.51,63.93,57,23,7.81,3.02,0.704,0,Clothing,0.312,Organic,0,103.5
2,33,M,West,105,12,710.85,59.24,7,27,1.79,1.47,0.614,1,Sports,0.276,Organic,0,74.23
3,42,M,Central,73,6,303.41,50.57,21,29,13.35,6.2,0.786,1,Books,0.485,Organic,0,116.86
4,53,M,North,132,7,507.14,72.45,31,24,10.93,6.45,0.672,2,Home,0.559,Paid_Search,0,166.75
5,32,F,North,158,8,714.97,89.37,24,16,9.43,3.61,0.657,1,Clothing,0.592,Paid_Search,0,92.48
6,32,F,West,1,12,1047.08,87.26,13,22,6.64,2.28,0.412,1,Electronics,0.461,Organic,0,115.75
7,53,M,East,257,11,822.74,74.79,30,25,10.07,3.12,0.896,5,Clothing,0.687,Organic,0,680.3
8,44,F,East,224,4,305.71,76.43,0,24,14.98,1.0,0.32,1,Home,0.425,Organic,0,129.85
9,29,F,West,82,7,510.73,72.96,13,20,9.31,1.0,0.216,0,Clothing,0.242,Social,0,132.95
10,41,M,West,9,6,255.42,42.57,22,22,2.62,1.0,0.648,3,Sports,0.343,Organic,0,0.0
11,29,M,Central,253,9,711.03,79.0,0,24,0.5,5.81,0.785,1,Clothing,0.97,Social,0,181.04
12,29,F,Central,558,7,422.87,60.41,21,26,10.04,5.68,0.844,1,Books,0.356,Organic,1,186.11
13,37,F,West,49,6,247.9,41.32,31,17,4.56,10.05,0.932,0,Books,0.254,Email,0,50.74
14,18,F,South,70,9,758.41,84.27,42,31,8.1,5.49,0.588,1,Clothing,0.565,Paid_Search,0,236.69
15,18,M,West,36,5,298.53,59.71,3,26,5.26,2.41,0.592,1,Electronics,0.405,Email,0,86.38
16,28,M,North,154,3,242.08,80.69,139,14,4.98,3.19,0.914,4,Clothing,0.625,Email,0,0.0
17,22,M,South,30,6,577.15,96.19,27,16,5.44,1.0,0.503,0,Sports,0.354,Direct,0,105.41
18,38,M,West,79,5,256.22,51.24,13,17,5.8,2.43,0.452,0,Sports,0.398,Social,0,69.15
19,24,M,South,214,12,927.64,77.3,8,30,11.6,3.62,0.331,2,Sports,0.42,Paid_Search,0,240.21
20,18,M,South,147,13,386.61,29.74,25,25,10.79,6.63,0.716,3,Electronics,0.909,Organic,0,0.0
21,52,F,North,87,8,906.51,113.31,64,26,3.67,3.39,0.375,3,Books,0.601,Organic,0,294.61
22,32,F,West,98,6,246.14,41.02,22,27,4.21,1.18,0.501,1,Sports,0.146,Email,0,0.0
23,35,M,East,148,7,434.91,62.13,32,20,10.02,6.35,0.935,2,Sports,0.706,Paid_Search,0,52.85
24,18,F,West,1,4,433.84,108.46,13,13,12.71,2.18,0.799,0,Clothing,0.835,Social,0,321.28
25,28,M,South,14,7,483.96,69.14,14,22,12.65,1.63,0.47,0,Books,0.547,Paid_Search,0,336.18
26,36,F,West,383,7,315.46,45.07,10,18,4.49,3.05,0.933,3,Sports,0.048,Email,0,0.0
27,21,M,West,14,7,649.79,92.83,36,15,12.46,2.16,0.92,0,Sports,0.338,Social,1,274.81
28,39,F,South,220,10,922.63,92.26,13,30,1.39,3.61,0.527,1,Clothing,0.537,Organic,0,0.0
29,27,Other,South,454,5,295.85,59.17,6,16,7.69,5.19,0.768,0,Clothing,0.734,Email,0,192.26
30,31,F,South,56,8,495.01,61.88,13,27,10.45,2.44,0.277,3,Home,0.729,Organic,0,0.0
31,27,M,Central,83,8,512.92,64.11,57,22,0.5,2.48,0.759,0,Clothing,0.226,Email,0,69.53
32,57,F,East,151,9,628.42,69.82,40,26,16.87,5.21,0.559,1,Clothing,0.815,Direct,0,102.63
33,34,M,Central,384,7,193.73,27.68,12,21,13.81,5.22,0.706,2,Home,0.286,Direct,0,38.71
34,22,F,South,512,7,493.25,70.46,71,22,11.09,3.87,0.812,2,Sports,0.153,Organic,0,64.86
35,44,F,West,242,7,837.18,119.6,2,31,4.64,2.92,0.324,2,Clothing,0.242,Organic,0,0.0
36,20,M,West,16,7,368.21,52.6,1,26,8.23,7.45,0.661,0,Electronics,0.771,Email,0,216.31
37,37,F,West,199,5,302.06,60.41,4,14,11.66,1.83,0.72,2,Home,0.253,Social,0,123.56
38,18,F,Central,95,8,363.28,45.41,3,27,4.01,5.26,0.539,0,Home,0.778,Organic,0,113.92
39,19,M,South,114,5,451.52,90.3,2,19,7.78,1.76,0.459,2,Sports,0.705,Social,1,97.0
40,37,F,North,9,5,525.4,105.08,32,26,12.14,3.54,0.344,3,Clothing,0.401,Organic,0,291.33
41,43,M,West,38,8,836.06,104.51,27,22,2.52,1.02,0.714,0,Electronics,0.555,Social,0,476.16
42,37,F,West,281,5,219.0,43.8,31,11,9.83,3.62,0.321,0,Sports,0.78,Email,0,43.37
43,33,F,East,108,9,787.45,87.49,34,24,1.48,7.75,0.832,3,Clothing,0.183,Social,0,484.66
44,31,F,South,64,11,1219.28,110.84,42,26,4.72,6.11,0.89,1,Sports,0.461,Organic,0,530.19
45,18,F,East,87,8,701.93,87.74,6,27,6.48,1.0,0.229,1,Home,0.263,Direct,0,163.55
46,26,F,South,346,6,521.76,86.96,29,28,10.55,7.54,0.558,1,Home,0.469,Paid_Search,0,207.99
47,29,M,South,248,11,695.3,63.21,26,22,5.7,2.11,0.637,0,Clothing,0.606,Paid_Search,0,236.37
48,47,F,East,57,7,563.52,80.5,86,13,9.0,4.66,0.485,1,Sports,0.874,Organic,0,120.74
49,39,M,West,22,10,1059.08,105.91,7,25,5.75,3.2,0.672,3,Clothing,0.453,Organic,0,235.37
50,18,F,South,52,8,665.64,83.21,1,23,6.38,1.96,0.604,0,Books,0.816,Organic,0,104.77
51,38,M,South,456,9,394.14,43.79,31,19,13.5,4.28,0.93,1,Clothing,0.294,Email,0,129.75
52,30,M,South,156,7,445.19,63.6,40,24,3.9,2.03,0.364,1,Books,0.282,Social,0,464.84
53,26,F,North,137,7,736.62,105.23,9,21,11.54,5.42,0.613,1,Home,0.593,Social,0,253.76
54,42,M,West,163,12,997.42,83.12,25,27,8.5,2.0,0.646,2,Electronics,0.365,Email,0,320.19
55,47,F,Central,82,3,233.93,77.98,1,18,6.2,1.81,0.973,1,Home,0.106,Direct,0,239.65
56,46,M,South,296,6,366.9,61.15,96,24,3.63,5.51,0.702,2,Electronics,0.739,Paid_Search,0,41.79
57,24,M,West,133,9,942.43,104.71,3,20,3.92,12.82,0.196,0,Sports,0.544,Paid_Search,0,0.0
58,31,F,West,22,8,932.48,116.56,2,26,5.55,6.54,0.56,0,Electronics,0.721,Social,0,258.79
59,38,M,West,24,8,852.64,106.58,1,29,7.9,5.9,0.475,0,Sports,0.538,Social,1,166.45
60,46,M,North,138,7,777.45,111.06,16,26,10.91,3.3,0.855,2,Books,0.296,Organic,0,490.95
61,29,F,Central,496,9,594.29,66.03,3,24,7.3,5.19,0.53,1,Sports,0.347,Social,0,0.0
62,32,M,South,66,11,687.45,62.5,40,27,7.57,2.43,0.832,1,Clothing,0.526,Social,1,0.0
63,21,F,South,366,8,568.73,71.09,68,23,8.16,8.6,0.68,0,Clothing,0.415,Direct,0,74.21
64,20,M,North,259,7,531.75,75.96,9,18,10.41,1.0,0.783,2,Clothing,0.563,Social,0,299.32
65,44,M,East,51,8,886.2,110.78,29,25,11.08,3.19,0.57,2,Home,0.744,Social,0,492.65
66,51,F,North,6,15,1562.21,104.15,1,33,2.95,2.63,0.614,2,Clothing,0.547,Email,0,528.28
67,34,M,South,19,14,1238.46,88.46,14,30,7.37,3.32,0.824,2,Sports,0.268,Organic,0,380.14
68,47,M,South,234,10,392.2,39.22,10,25,13.41,1.89,0.566,2,Sports,0.595,Social,0,53.59
69,39,M,West,40,6,196.8,32.8,7,18,3.24,3.75,0.756,1,Sports,0.467,Paid_Search,0,63.94
70,27,M,West,83,13,1053.15,81.01,31,28,8.8,1.84,0.518,3,Clothing,0.417,Organic,1,288.5
71,39,F,South,125,4,388.03,97.01,4,14,7.82,2.3,0.584,3,Books,0.247,Social,0,125.71
72,53,M,West,232,4,292.04,73.01,59,19,6.23,4.78,0.309,1,Books,0.435,Organic,0,47.23
73,34,F,West,21,7,860.11,122.87,32,22,14.86,15.65,0.284,4,Home,0.981,Paid_Search,0,0.0
74,53,F,West,93,10,479.39,47.94,37,23,8.65,2.27,0.159,0,Sports,0.502,Organic,0,67.78
75,18,M,North,119,13,582.29,44.79,82,25,14.54,4.28,0.568,2,Sports,0.295,Organic,0,41.7
76,44,F,West,140,6,350.36,58.39,85,26,8.52,7.21,0.544,0,Home,0.59,Organic,0,110.88
77,36,M,Central,307,10,574.43,57.44,24,26,10.34,4.47,0.344,1,Sports,0.11,Paid_Search,0,0.0
78,31,F,West,33,5,440.79,88.16,20,19,6.19,2.86,0.889,2,Electronics,0.286,Paid_Search,0,89.2
79,36,M,South,296,11,709.03,64.46,12,26,6.24,2.82,0.279,2,Home,0.555,Organic,0,57.82
80,18,F,East,212,6,217.82,36.3,37,25,10.14,7.58,0.544,2,Sports,0.326,Paid_Search,0,116.5
81,32,F,East,146,8,778.32,97.29,23,23,10.21,1.0,0.755,2,Home,0.177,Email,0,395.46
82,39,M,East,216,4,124.0,31.0,81,21,10.89,3.72,0.721,0,Electronics,0.091,Direct,0,21.66
83,52,F,North,95,8,385.76,48.22,8,26,10.01,2.55,0.432,0,Electronics,0.681,Paid_Search,0,71.38
84,28,F,South,26,9,309.89,34.43,11,30,3.15,1.0,0.223,1,Clothing,0.582,Paid_Search,0,87.12
85,25,M,West,197,11,881.96,80.18,11,24,5.27,3.45,0.918,2,Sports,0.552,Social,0,342.21
86,28,M,West,133,8,637.21,79.65,49,21,11.9,2.01,0.505,1,Electronics,0.555,Organic,0,112.11
87,45,F,North,183,8,983.29,122.91,3,29,0.67,1.3,0.242,0,Electronics,0.362,Direct,0,151.81
88,38,F,Central,74,9,880.61,97.85,18,25,9.67,8.19,0.886,2,Electronics,0.297,Social,0,657.67
89,28,F,South,427,13,1443.54,111.04,16,25,8.05,1.52,0.911,0,Clothing,0.288,Organic,1,282.94
90,41,F,West,159,10,822.15,82.22,2,24,11.9,1.19,0.862,2,Sports,0.358,Organic,0,289.43
91,36,F,West,16,9,455.19,50.58,15,22,10.17,1.0,0.486,3,Home,0.623,Social,0,131.92
92,46,F,West,107,8,625.62,78.2,21,21,5.84,4.13,0.826,1,Clothing,0.208,Paid_Search,1,116.98
93,26,M,Central,254,7,628.67,89.81,2,27,5.66,4.48,0.947,1,Sports,0.851,Paid_Search,0,341.51
94,31,M,South,284,12,1111.14,92.6,21,33,6.41,12.68,0.736,1,Electronics,0.806,Email,0,158.53
95,30,F,West,122,2,126.38,63.19,96,11,10.82,2.59,0.669,2,Clothing,0.667,Organic,0,295.05
96,18,F,North,405,6,523.32,87.22,115,20,0.5,2.25,0.767,2,Books,0.241,Social,0,186.17
97,38,M,West,56,6,310.05,51.67,22,23,9.13,1.15,0.918,5,Books,0.102,Direct,0,157.63
98,38,M,West,95,6,293.51,48.92,21,18,4.97,4.67,0.606,2,Electronics,0.474,Organic,0,48.1
99,35,F,West,411,13,612.37,47.11,10,25,9.26,1.0,0.776,1,Sports,0.359,Organic,0,246.59
100,32,F,South,407,6,453.69,75.62,175,15,9.88,1.98,0.803,1,Sports,0.534,Direct,0,231.08
101,18,M,West,208,6,273.32,45.55,9,27,1.85,3.96,0.783,1,Clothing,0.853,Organic,0,86.28
102,29,F,North,352,9,579.43,64.38,18,21,7.59,2.05,0.195,2,Books,0.61,Organic,1,49.54
103,30,M,North,16,8,780.58,97.57,0,32,9.12,2.0,0.902,4,Sports,0.949,Email,0,286.72
104,25,M,West,360,14,689.8,49.27,12,34,8.85,1.71,0.725,2,Clothing,0.455,Organic,0,0.0
105,33,M,East,69,6,374.35,62.39,2,30,8.01,8.51,0.437,0,Clothing,0.665,Organic,0,159.59
106,39,M,West,35,4,307.16,76.79,40,28,3.62,1.91,0.543,2,Books,0.583,Organic,0,74.94
107,57,F,South,49,9,730.55,81.17,24,24,4.23,4.71,0.739,1,Electronics,0.61,Direct,1,29.82
108,37,M,North,97,7,437.62,62.52,25,25,2.99,1.8,0.572,1,Clothing,0.759,Email,0,65.1
109,38,F,West,52,8,757.37,94.67,10,22,10.72,2.23,0.451,0,Electronics,0.437,Social,0,502.46
110,34,F,East,69,8,718.09,89.76,50,31,8.04,3.34,0.597,2,Books,0.118,Paid_Search,0,404.48
111,18,M,North,26,10,1034.96,103.5,0,26,8.29,7.99,0.696,1,Clothing,0.477,Organic,0,983.93
112,34,F,West,63,6,437.76,72.96,12,23,1.68,1.0,0.233,0,Home,0.183,Direct,0,89.16
113,35,F,East,152,4,248.72,62.18,32,13,8.37,7.35,0.601,3,Books,0.801,Social,0,39.98
114,64,F,East,104,10,579.34,57.93,71,26,11.03,1.51,0.719,1,Books,0.808,Organic,0,235.26
115,32,M,East,76,10,826.76,82.68,8,23,1.13,3.68,0.34,0,Home,0.386,Direct,0,579.22
116,38,F,West,246,5,327.86,65.57,23,18,6.36,3.07,0.695,2,Books,0.623,Direct,0,126.89
117,34,F,West,403,7,425.4,60.77,23,20,2.22,1.05,0.698,2,Home,0.67,Social,0,184.8
118,20,M,West,254,8,510.34,63.79,62,22,6.82,2.02,0.341,2,Home,0.702,Direct,0,130.78
119,48,M,North,72,4,231.63,57.91,1,21,4.9,3.07,0.81,4,Books,0.262,Organic,0,159.27
120,44,F,West,245,7,559.83,79.98,16,18,10.02,1.0,0.406,2,Home,0.79,Social,0,0.0
121,44,F,West,29,12,476.23,39.69,6,27,9.18,6.3,0.538,4,Home,0.559,Organic,0,64.47
122,24,M,West,25,8,660.6,82.58,0,22,13.67,3.36,0.58,4,Books,0.589,Social,0,117.95
